order_id,payment_type,payment_installments,payment_value,payment_count_sum,payment_method
b81ef226f3fe1789b1e8b2acac839d17,credit_card,8,99.33,1,0
a9810da82917af2d9aefd1278f1dcfa0,credit_card,1,24.39,1,0
25e8ea4e93396b6fa0d3dd708e76c1bd,credit_card,1,65.71,1,0
ba78997921bbcdc1373bb41e913ab953,credit_card,8,107.78,1,0
42fdf880ba16b47b59251dd489d4441a,credit_card,2,128.45,1,0
298fcdf1f73eb413e4d26d01b25bc1cd,credit_card,2,96.12,1,0
771ee386b001f06208a7419e4fc1bbd7,credit_card,1,81.16,1,0
3d7239c394a212faae122962df514ac7,credit_card,3,51.84,1,0
1f78449c87a54faf9e96e88ba1491fa9,credit_card,6,341.09,1,0
0573b5e23cbd798006520e1d5b4c6714,boleto,1,51.95,1,0
d88e0d5fa41661ce03cf6cf336527646,credit_card,8,188.73,1,0
2480f727e869fdeb397244a21b721b67,credit_card,1,141.9,1,0
616105c9352a9668c38303ad44e056cd,credit_card,1,75.78,1,0
cf95215a722f3ebf29e6bbab87a29e61,credit_card,5,102.66,1,0
769214176682788a92801d8907fa1b40,credit_card,4,105.28,1,0
12e5cfe0e4716b59afb0e0f4a3bd6570,credit_card,10,157.45,1,0
61059985a6fc0ad64e95d9944caacdad,credit_card,1,132.04,1,0
79da3f5fe31ad1e454f06f95dc032ad5,credit_card,1,98.94,1,0
8ac09207f415d55acff302df7d6a895c,credit_card,4,244.15,1,0
b2349a3f20dfbeef62e7b31baa22f84b,credit_card,3,136.71,1,0
5a1f6d22f7dfb061ef29216b9af687a1,credit_card,4,47.69,1,0
4214cda550ece8ee66441f459dc33a8c,credit_card,2,170.57,1,0
adfbf6c2a620196f9a3ec747491c72b7,credit_card,4,67.5,1,0
4d680edbaa7d3d9bed69532957368a03,credit_card,10,353.09,1,0
8cd68144cdb62dc0d60848cf8616d2a4,boleto,1,330.66,1,0
5cfd514482e22bc992e7693f0e3e8df7,voucher,1,45.17,0,0
d0a945f85ba1074b60aac97ade7e240e,credit_card,2,541.0,1,0
c39414c195d0f94c9d9c35e7c6ed4f1a,credit_card,2,139.22,1,0
5d9c5817e278892b7498d90bfa28ade8,credit_card,2,290.16,1,0
b69b9260e79a0da00e15f48de1bd2524,boleto,1,283.34,1,0
f45074ae38f2e01d9b854ec8d40362ff,credit_card,1,13.78,1,0
81cedc4d2132eb6f512354166e51b187,credit_card,1,30.28,1,0
595f598849d89203c28d05d0fbf3f92e,credit_card,1,26.58,1,0
f9d0ec2fa088ac583e1ccd15b6686073,credit_card,1,89.68,1,0
e647bf617de735448a4ba54f8910393c,credit_card,1,65.09,1,0
b2bb080b6bc860118a246fd9b6fad6da,credit_card,1,173.84,1,0
23f10f509600c30cf2852f9dbdf28fc3,credit_card,1,103.49,1,0
f86f6472fa9f395d8d9a6751ca118afb,credit_card,1,64.03,1,0
1dcf0c8cd36ffaf57784fbdc90079310,credit_card,3,157.15,1,0
00d8d65b666158b633f96054d31af43b,boleto,1,130.88,1,0
cf30fe76d1505192acee1c6dccb15545,credit_card,2,47.72,1,0
d3e774a185c0b1b2286ffd6c70abe2e6,credit_card,8,117.74,1,0
32b1d8f3789a57f1f752e20ac7404b4c,boleto,1,56.6,1,0
c10d412026c4077b8e83acf0fea04eee,credit_card,1,266.16,1,0
56c3277583e16009c925fdf116df420f,boleto,1,31.38,1,0
0e0441786430b7cfcd0d91f822ea4c99,credit_card,1,121.49,1,0
6ffb3f1686bceae3466facf7e02ce3fb,credit_card,1,32.0,1,0
afef48d3c8a0b1b7c9b7f8f922fb5674,credit_card,5,153.41,1,0
c0db7d31ace61fc360a3eaa34dd3457c,credit_card,5,65.71,1,0
d574338f566ca28dd67820f48ec1f1d8,credit_card,4,278.22,1,0
